用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
我在等风viva	5373913943	Je406tT2I	#脑洞三十而已大结局#1.钟晓芹的感情线很明朗，和钟晓阳在一起或者与陈屿复婚，钟晓阳就像和钟晓芹谈恋爱时的陈屿，虽然幼稚和孩子气，但是很在乎在意，不介意你的一切，只要我喜欢你。但不知道会不会成为以后的陈屿。陈屿经历过离婚的风波后变了，是变的好了，但就能把以前的伤害都抹的一干二净吗？ ​  展开全文c	2020年08月02日 16:59		评论		https://weibo.com/5373913943/Je406tT2I?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je406tT2I?uid=5373913943&rl=1
厚普大学全年段翻花绳第一名	1650830427	Je3ZRajv0	#脑洞三十而已大结局#啊 感觉网友们恶意也不用这么大吧 许幻山和林有有也没有干什么伤天害理的事情阿 我觉得还是应该给他们一个好一点的结局吧比如在情人节那天的浪漫夜晚一起炸成星空中最绚烂的蓝色烟花 小曾同学你说是不是呢 @曾可妮Jenny-Z ​	2020年08月02日 16:59		1	3	https://weibo.com/1650830427/Je3ZRajv0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3ZRajv0?uid=1650830427&rl=1
安平十三妹l	5316187319	Je3ZQjicn	#脑洞三十而已大结局#王漫妮杀回米希亚直接升两个等级空降把副店长踢走！！！！陈养鱼晓芹复婚复婚复婚！！！顾佳和儿子两个人生活几年后遇到了真爱！！！许放炮公司破产啥都没了林有有跟他摊牌说就是爱你的钱，许放炮艺术家梦想破碎，街头卖艺飘！林有有想勾搭另一个大佬被大佬夫人手撕手撕手撕！！！ ​  展开全文c	2020年08月02日 16:59		评论		https://weibo.com/5316187319/Je3ZQjicn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3ZQjicn?uid=5316187319&rl=1
云之故乡99	6314391536	Je3ZtvNoV	#脑洞三十而已大结局# 三个女人自己创业，远离渣男，独自美丽吧 ​	2020年08月02日 16:58			1	https://weibo.com/6314391536/Je3ZtvNoV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3ZtvNoV?uid=6314391536&rl=1
花花四娘	1749852197	Je3Zs04vl	#脑洞三十而已大结局#过了三十就会发现，三十好年轻啊，四十才多坎坷。三十的时候父母还年轻着呢，夫妻往往七年之痒都没到，孩子没上小学上补习班，工作还是那么精力充沛，年龄越往上越多问题。希望她们大结局都幸福，这样往后的十年积累更多，迎接四十。 ​	2020年08月02日 16:58		评论		https://weibo.com/1749852197/Je3Zs04vl?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3Zs04vl?uid=1749852197&rl=1
distance啊	3732737641	Je3Zj87fM	#脑洞三十而已大结局#王漫妮最终归宿肯定是前男友，因为她不喜欢在小镇的生活。顾佳肯定会手撕林有有钟晓芹和陈屿复婚 ​	2020年08月02日 16:58			3	https://weibo.com/3732737641/Je3Zj87fM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3Zj87fM?uid=3732737641&rl=1
斯坦尼斯螺蛳粉斯基	1826599684	Je3Z5fSRY	#脑洞三十而已大结局#许幻山破产，欠一屁股债，大难临头，新婚妻子林有有却跟着隔壁老王跑了。五年后，上市公司老总顾佳带着小公子顾子言荣归A市，透过车窗，看到天桥边，佝偻着身子，邋里邋遢，正在向行人乞讨的中年男子许幻山。无独有偶，五里之外，一个女子被打得鼻青脸肿，衣服被撕得稀巴烂 ​  展开全文c	2020年08月02日 16:57		2	5	https://weibo.com/1826599684/Je3Z5fSRY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3Z5fSRY?uid=1826599684&rl=1
不会偏航变桨的棉杆	5238271173	Je3Z5jahK	#脑洞三十而已大结局#姐姐们独自美丽吧 ​	2020年08月02日 16:57		评论		https://weibo.com/5238271173/Je3Z5jahK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3Z5jahK?uid=5238271173&rl=1
O奢侈品大牌包包	7470636598	Je3YQvuYq	#脑洞三十而已大结局#三个男生一起，三个女生一起，分成两队，各自美丽。许幻山可以做个独自美丽的高尚艺术家，陈屿可以安心地待在避风港中。不着家，不接地气的花花公子梁正贤，偶尔回来露个面，顺便夸一夸许幻山设计的烟花，比他看到的极光还要美。三个女生呢，顾佳能力强，开公司当老板，王漫妮销售 ​  展开全文c	2020年08月02日 16:56		评论		https://weibo.com/7470636598/Je3YQvuYq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3YQvuYq?uid=7470636598&rl=1
猫鱼的布丁	6533690725	Je3YPmSET	#脑洞三十而已大结局# ​	2020年08月02日 16:56		评论		https://weibo.com/6533690725/Je3YPmSET?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3YPmSET?uid=6533690725&rl=1
最最好看的雪儿	6000250254	Je3YLvdRg	#脑洞三十而已大结局# 许幻山被我淹死了 ​	2020年08月02日 16:56		10	281	https://weibo.com/6000250254/Je3YLvdRg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3YLvdRg?uid=6000250254&rl=1
Jackson的小时候	5206236446	Je3YKyIhg	#脑洞三十而已大结局#只要顾佳事业成功并且手撕了林有有用 小宝的waacking扇她的脸，然后烟花厂爆炸许幻山一无所有我就满足了（视频借鉴） LJackson的小时候的微博视频 ​	2020年08月02日 16:56			1	https://weibo.com/5206236446/Je3YKyIhg?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3YKyIhg?uid=5206236446&rl=1
咕噜·	5053777352	Je3YBaQvr	#脑洞三十而已大结局#虽然我才看到二十几集，但我有一个愿望大结局的时候许放炮和🍵看烟花的时候被炸死！！！炸上天的那种其他人就好好赚钱顺其自然 ​	2020年08月02日 16:56		33	62	https://weibo.com/5053777352/Je3YBaQvr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Je3YBaQvr?uid=5053777352&rl=1
